"-77,30","0,0","-3,0","-8,2","-14,5","-28,9","-47,16","-61,20","-69,23","-73,26","-76,29"
"-86,32","0,0","-2,0","-5,1","-9,3","-16,6","-28,10","-42,17","-62,24","-75,27","-80,29"
"89,36","0,0","4,3","15,7","30,13","47,17","61,22","74,28","85,32","92,35","91,36"
"69,34","0,0","7,4","18,8","25,11","33,14","43,18","51,24","58,28","65,32","69,34"
"-72,48","0,0","-5,4","-14,11","-32,26","-47,34","-56,39","-64,42","-68,43","-70,45","-71,46"
"-54,-48","0,0","-1,-1","-3,-4","-9,-14","-17,-23","-23,-30","-29,-36","-37,-41","-43,-44","-50,-47"
"56,-47","0,0","3,-2","10,-7","26,-20","44,-35","54,-43","56,-47","58,-50","59,-50","57,-48"
"-58,-42","0,0","-6,-4","-21,-16","-29,-23","-36,-28","-45,-33","-49,-36","-50,-37","-53,-39","-54,-40"
"-89,42","0,0","-8,3","-34,13","-59,22","-70,28","-75,31","-79,34","-82,36","-86,39","-88,40"
"51,29","0,0","4,0","13,4","34,12","45,17","48,20","49,22","50,25","50,27","51,29"
"-88,-37","0,0","-2,-1","-10,-4","-23,-9","-41,-18","-60,-27","-72,-31","-76,-33","-83,-35","-88,-36"
"65,-36","0,0","4,-3","21,-13","40,-24","54,-33","61,-36","64,-37","65,-38","65,-38","65,-37"
"53,-43","0,0","1,-1","7,-6","21,-17","38,-31","52,-42","57,-46","57,-46","55,-45","53,-44"
"-78,39","0,0","-2,0","-10,5","-27,13","-38,19","-49,24","-58,27","-68,32","-75,35","-78,38"
"71,43","0,0","6,5","16,11","30,19","39,23","47,27","56,33","64,38","71,42","72,43"
"-68,-32","0,0","-2,-1","-10,-5","-21,-9","-33,-14","-49,-21","-63,-27","-70,-31","-72,-32","-69,-32"
"-63,44","0,0","-4,2","-12,6","-24,14","-33,20","-42,27","-49,31","-53,34","-58,37","-60,41"
"49,43","0,0","1,0","4,1","17,9","31,17","38,23","41,28","43,33","44,36","47,40"
"55,-44","0,0","1,-3","8,-9","19,-18","31,-26","37,-30","42,-34","49,-39","52,-42","55,-44"
"-61,-48","0,0","-3,-2","-9,-6","-15,-13","-22,-21","-31,-27","-43,-34","-56,-42","-61,-45","-63,-48"
"-55,-35","0,0","-1,-1","-6,-4","-14,-10","-25,-16","-36,-22","-44,-27","-50,-31","-53,-33","-54,-34"
"54,33","0,0","1,1","6,5","15,12","28,20","36,26","42,29","47,32","51,34","51,34"
"-77,-50","0,0","-1,-1","-5,-6","-12,-14","-28,-29","-42,-37","-56,-43","-69,-49","-75,-50","-76,-51"
"79,-40","0,0","6,-4","19,-12","34,-21","43,-26","50,-30","57,-34","63,-37","70,-39","75,-40"
"72,-42","0,0","3,-2","10,-5","21,-12","33,-19","41,-24","48,-28","54,-31","60,-35","65,-39"
"768,-328","0,0","16,-7","172,-65","425,-119","520,-161","585,-199","654,-243","687,-266","699,-283","715,-293"
"644,-351","0,0","23,-24","102,-73","161,-108","259,-158","342,-205","397,-228","466,-274","523,-313","549,-326"
"791,-391","0,0","40,-23","111,-65","219,-126","331,-194","488,-286","611,-335","696,-368","746,-384","768,-391"
"680,360","0,0","25,20","131,76","245,122","361,182","440,210","507,233","568,276","624,315","649,334"
"-806,314","0,0","-66,31","-183,65","-283,93","-394,138","-527,187","-635,220","-711,247","-749,283","-783,307"
"559,-366","0,0","48,-31","91,-66","138,-97","181,-123","230,-152","283,-178","345,-214","400,-252","483,-310"
"-687,-454","0,0","-22,-7","-93,-67","-171,-153","-278,-238","-403,-299","-525,-349","-573,-377","-617,-403","-689,-436"
"-865,-313","0,0","-72,-25","-169,-53","-231,-78","-306,-110","-376,-138","-438,-162","-533,-200","-650,-243","-766,-283"
"659,307","0,0","33,26","78,50","141,76","210,104","279,137","389,181","444,202","514,232","611,280"
"795,-414","0,0","77,-32","160,-78","258,-141","334,-187","392,-216","466,-257","571,-314","659,-354","743,-389"
"-658,299","0,0","-10,10","-57,37","-135,79","-227,126","-320,163","-411,198","-477,215","-556,244","-624,277"
"859,340","0,0","31,26","106,59","214,104","409,182","578,222","700,259","767,285","808,303","845,326"
"-600,-487","0,0","-27,-7","-94,-35","-165,-80","-238,-150","-387,-295","-447,-342","-496,-385","-552,-432","-594,-471"
"-866,292","0,0","-59,28","-163,56","-274,78","-398,103","-510,143","-672,211","-774,249","-829,264","-854,279"
"546,394","0,0","64,49","102,74","148,121","206,165","286,220","375,275","440,325","484,354","537,385"
"-785,-361","0,0","-42,-20","-139,-71","-251,-141","-324,-181","-370,-207","-449,-245","-543,-282","-636,-314","-721,-346"
"677,458","0,0","47,34","89,74","150,111","251,173","331,232","435,291","536,354","626,423","656,456"
"-487,-452","0,0","-21,-15","-94,-72","-203,-198","-251,-268","-264,-291","-323,-336","-433,-400","-457,-415","-466,-432"
"720,467","0,0","16,21","66,61","160,128","255,193","341,237","437,291","511,336","582,379","663,431"
"-773,358","0,0","-27,6","-81,26","-181,68","-329,128","-468,202","-561,246","-628,269","-710,318","-759,347"
"875,-439","0,0","82,-31","195,-92","324,-169","434,-221","558,-270","652,-308","749,-346","818,-376","849,-412"
"794,-458","0,0","35,-20","101,-58","224,-131","341,-201","495,-290","643,-372","702,-402","747,-428","777,-448"
"-745,-489","0,0","-51,-42","-143,-119","-273,-220","-380,-296","-472,-348","-543,-385","-628,-424","-702,-460","-733,-478"
"-617,-444","0,0","-23,-27","-90,-78","-203,-154","-295,-221","-376,-283","-450,-342","-511,-379","-570,-415","-600,-433"
"577,-444","0,0","26,-22","105,-76","217,-142","336,-229","404,-284","453,-332","490,-374","526,-411","562,-432"
"-730,-326","0,0","-55,-35","-170,-101","-271,-157","-369,-198","-454,-232","-537,-261","-597,-284","-647,-304","-703,-321"
"831,406","0,0","71,39","160,75","263,122","415,186","540,257","663,323","747,355","803,378","825,394"
